,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed,Country
114,dikson,73.51,80.55,42.49400000000007,88.0,0.0,1.2,RU
115,yuzhno-yeniseyskiy,0.0,0.0,0.0,0.0,0.0,0.0,
116,iqaluit,63.75,-68.51,55.4,66.0,90.0,3.1,CA
117,butte,39.65,-121.57,93.99199999999999,30.0,1.0,6.7,US
118,rawannawi,0.0,0.0,0.0,0.0,0.0,0.0,
119,ulaanbaatar,47.91,106.88,66.2,68.0,40.0,2.0,MN
120,constitucion,-35.33,-72.42,47.102000000000075,81.0,1.0,1.65,CL
121,severo-kurilsk,50.68,156.12,51.11600000000001,84.0,100.0,2.53,RU
122,paratebueno,4.38,-73.22,72.23000000000005,90.0,100.0,0.96,CO
123,toliary,0.0,0.0,0.0,0.0,0.0,0.0,
124,nauta,-4.51,-73.58,73.00400000000005,95.0,36.0,0.58,PE
125,jubayl,0.0,0.0,0.0,0.0,0.0,0.0,
126,mangrol,21.12,70.12,83.89400000000008,78.0,64.0,6.21,IN
127,longyearbyen,78.22,15.64,46.4,93.0,75.0,3.1,SJ
128,broken hill,-31.95,141.43,60.8,41.0,0.0,5.1,AU
129,salinas,36.68,-121.66,62.99600000000005,82.0,90.0,4.6,US
130,dunedin,-45.87,170.5,48.992,52.0,49.0,8.49,NZ
131,belushya guba,0.0,0.0,0.0,0.0,0.0,0.0,
132,avera,33.19,-82.53,75.2,63.0,40.0,3.7,US
133,pangnirtung,66.15,-65.71,51.944000000000074,74.0,69.0,1.13,CA
134,whitehorse,60.72,-135.05,59.0,62.0,75.0,2.6,CA
135,burnie,-41.07,145.92,50.0,87.0,100.0,1.79,AU
136,anloga,5.79,0.9,75.2,94.0,40.0,5.1,GH
137,mrirt,0.0,0.0,0.0,0.0,0.0,0.0,
138,te anau,-45.42,167.72,43.97000000000006,70.0,90.0,2.92,NZ
139,san patricio,19.22,-104.7,82.4,74.0,75.0,2.98,MX
140,padang,-0.95,100.35,82.31000000000009,68.0,96.0,0.71,ID
141,lethem,3.38,-59.8,75.56000000000009,86.0,46.0,1.71,GY
142,pevek,69.7,170.31,48.36200000000006,71.0,79.0,3.9,RU
143,beloha,-25.17,45.05,57.77600000000009,79.0,0.0,4.25,MG
144,ures,29.43,-110.4,84.99199999999999,77.0,100.0,0.45,MX
145,rayevskiy,54.07,54.95,60.96200000000006,92.0,100.0,4.28,RU
146,umm kaddadah,13.6,26.69,82.34600000000005,54.0,20.0,7.71,SD
147,morondava,-20.28,44.28,67.26200000000006,61.0,0.0,4.23,MG
148,namibe,-15.2,12.15,65.84000000000002,70.0,0.0,1.54,AO
149,salisbury,51.07,-1.8,59.0,87.0,23.0,4.6,GB
150,morbach,49.82,7.12,64.4,48.0,100.0,2.1,DE
151,caravelas,-17.71,-39.25,71.43800000000005,90.0,100.0,3.73,BR
152,mariinsk,56.21,87.75,57.48800000000004,69.0,43.0,3.05,RU
153,ardistan,0.0,0.0,0.0,0.0,0.0,0.0,
154,palmer,42.16,-72.33,75.2,94.0,75.0,1.29,US
155,magadan,59.57,150.8,62.61800000000009,65.0,30.0,2.88,RU
156,dahra,36.25,0.85,73.4,64.0,0.0,1.0,DZ
157,baykit,61.67,96.37,53.924000000000014,82.0,100.0,3.02,RU
158,chokurdakh,70.63,147.92,77.43200000000002,47.0,87.0,1.76,RU
159,samusu,0.0,0.0,0.0,0.0,0.0,0.0,
160,lorengau,-2.02,147.27,84.65,76.0,73.0,4.62,PG
161,esmeraldas,-19.76,-44.31,62.6,67.0,0.0,4.1,BR
162,rosarito,32.33,-117.03,71.00600000000003,68.0,5.0,4.6,MX
163,bababe,0.0,0.0,0.0,0.0,0.0,0.0,
164,mount gambier,-37.83,140.77,50.0,71.0,100.0,6.7,AU
165,georgetown,5.41,100.34,84.2,83.0,20.0,1.5,MY
166,mahebourg,-20.41,57.7,68.0,60.0,40.0,5.7,MU
167,gold coast,-28.0,153.43,64.00400000000005,93.0,90.0,4.1,AU
168,yanan,0.0,0.0,0.0,0.0,0.0,0.0,
169,honiara,-9.43,159.95,86.0,74.0,40.0,6.2,SB
170,tiarei,-17.53,-149.33,77.0,73.0,75.0,2.1,PF
171,san carlos de bariloche,-41.15,-71.31,15.8,92.0,0.0,2.6,AR
172,skalistyy,0.0,0.0,0.0,0.0,0.0,0.0,
173,louisbourg,0.0,0.0,0.0,0.0,0.0,0.0,
174,aripuana,-9.17,-60.63,80.18600000000006,47.0,64.0,1.25,BR
175,manacapuru,-3.3,-60.62,78.8,83.0,73.0,1.0,BR
176,castro,-24.79,-50.01,56.444000000000074,77.0,7.0,1.55,BR
177,los llanos de aridane,28.66,-17.92,75.00200000000008,73.0,20.0,7.7,ES
178,el refugio,20.67,-103.73,66.99199999999999,93.0,100.0,3.58,MX
179,guerrero negro,27.98,-114.06,67.35200000000007,77.0,0.0,7.87,MX
180,sao joao da barra,-21.64,-41.05,70.88000000000004,80.0,0.0,5.32,BR
181,lasa,46.62,10.7,57.992,100.0,100.0,0.54,IT
182,totma,59.97,42.76,51.13399999999999,96.0,100.0,2.34,RU
183,vao,-22.67,167.48,69.8,81.0,4.0,8.39,NC
184,bidar,17.9,77.55,72.44600000000005,89.0,100.0,3.24,IN
185,rupert,42.62,-113.68,71.6,43.0,1.0,3.6,US
186,oktyabrskoye,43.06,44.74,68.0,60.0,0.0,3.0,RU
187,norman wells,65.28,-126.83,62.6,59.0,75.0,4.6,CA
188,barra do garcas,-15.89,-52.26,69.00800000000001,44.0,0.0,0.2,BR
189,semporna,4.48,118.61,82.4,83.0,20.0,0.42,MY
190,sentyabrskiy,0.0,0.0,0.0,0.0,0.0,0.0,
191,fare,-16.7,-151.02,77.93600000000006,79.0,35.0,9.27,PF
192,new norfolk,-42.78,147.06,51.008,80.0,100.0,0.45,AU
193,placido de castro,-10.34,-67.19,76.73000000000005,59.0,10.0,0.7,BR
194,jamuria,23.7,87.08,85.06400000000004,74.0,99.0,1.4,IN
195,bereda,43.27,-7.54,60.008,100.0,58.0,0.85,ES
196,tongren,27.72,109.19,86.32400000000001,69.0,100.0,1.52,CN
197,jalu,29.03,21.55,73.31000000000009,69.0,0.0,3.61,LY
198,klaksvik,62.23,-6.59,50.0,100.0,100.0,5.1,FO
199,ankara,39.92,32.85,66.2,52.0,0.0,1.0,TR
200,airai,-8.93,125.41,69.60200000000007,40.0,36.0,1.86,TL
201,hamilton,39.18,-84.53,75.00200000000008,94.0,90.0,2.1,US
202,tskaltubo,42.33,42.6,69.8,94.0,30.0,0.5,GE
203,wajima,37.4,136.9,71.6,94.0,75.0,3.1,JP
204,lar gerd,0.0,0.0,0.0,0.0,0.0,0.0,
205,ambilobe,-13.2,49.05,67.38800000000005,64.0,68.0,1.17,MG
206,panorama,40.59,23.03,78.99800000000002,47.0,0.0,1.21,GR
207,satana,20.58,74.2,76.28000000000004,80.0,89.0,2.12,IN
208,faanui,-16.48,-151.75,77.39600000000004,81.0,1.0,9.6,PF
209,sciacca,37.51,13.09,78.00800000000001,35.0,0.0,2.68,IT
210,champerico,14.3,-91.92,79.16000000000008,82.0,100.0,3.42,GT
211,barabai,-2.58,115.38,85.55,66.0,0.0,0.39,ID
212,tsihombe,0.0,0.0,0.0,0.0,0.0,0.0,
213,port hedland,-20.32,118.57,78.8,26.0,0.0,3.6,AU
214,shimoda,34.67,138.95,78.8,88.0,75.0,1.5,JP
215,quilali,13.57,-86.03,74.31800000000008,80.0,100.0,1.17,NI
216,alice springs,-23.7,133.88,64.4,31.0,0.0,2.1,AU
217,hanstholm,57.12,8.62,57.992,22.0,100.0,7.23,DK
218,iskateley,67.68,53.15,64.07600000000009,65.0,6.0,4.39,RU
219,bosaso,11.28,49.18,87.94400000000007,44.0,0.0,10.41,SO
220,naze,28.37,129.48,87.8,74.0,75.0,9.3,JP
221,torbay,47.67,-52.73,64.4,68.0,90.0,7.7,CA
222,kismayo,-0.36,42.55,76.33399999999999,71.0,81.0,9.7,SO
223,yulara,-25.24,130.99,59.0,41.0,0.0,1.0,AU
224,cururupu,-1.83,-44.87,74.93000000000004,87.0,37.0,1.52,BR
225,tourlaville,49.64,-1.57,62.00600000000003,93.0,90.0,5.1,FR
226,laela,-8.57,32.05,49.02800000000006,84.0,19.0,2.61,TZ
227,nanortalik,60.14,-45.24,45.122000000000035,92.0,100.0,4.16,GL
228,college,64.86,-147.8,66.2,52.0,75.0,5.1,US
229,preobrazheniye,42.9,133.91,66.83000000000004,82.0,100.0,3.35,RU
230,porto santo,33.07,-16.34,69.8,77.0,75.0,3.6,PT
231,nadym,65.53,72.52,53.978000000000065,66.0,0.0,5.23,RU
232,nantucket,41.28,-70.1,73.4,94.0,1.0,4.1,US
233,brewster,41.4,-73.62,73.00400000000005,88.0,90.0,4.1,US
234,nikolskoye,59.7,30.79,53.00600000000003,81.0,20.0,1.0,RU
235,ishikawa,26.42,127.82,87.8,79.0,20.0,7.2,JP
236,ipameri,-17.72,-48.16,63.122000000000035,44.0,0.0,2.65,BR
237,umm lajj,25.02,37.27,84.81200000000005,60.0,20.0,2.4,SA
238,hithadhoo,-0.6,73.08,83.10200000000007,68.0,96.0,4.22,MV
239,khandagayty,50.73,92.05,67.74800000000002,50.0,78.0,2.29,RU
