city_id,City Name,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed
146,pevek,0.0,0.0,0.0,0.0,0.0,0.0
147,barentsburg,0.0,0.0,0.0,0.0,0.0,0.0
148,jahrom,0.0,0.0,0.0,0.0,0.0,0.0
149,half moon bay,0.0,0.0,0.0,0.0,0.0,0.0
150,port blair,0.0,0.0,0.0,0.0,0.0,0.0
151,paamiut,0.0,0.0,0.0,0.0,0.0,0.0
152,victoria,0.0,0.0,0.0,0.0,0.0,0.0
153,ballina,0.0,0.0,0.0,0.0,0.0,0.0
154,nyagan,0.0,0.0,0.0,0.0,0.0,0.0
155,kijang,0.0,0.0,0.0,0.0,0.0,0.0
156,silvan,0.0,0.0,0.0,0.0,0.0,0.0
157,esperance,0.0,0.0,0.0,0.0,0.0,0.0
158,atlantic city,0.0,0.0,0.0,0.0,0.0,0.0
159,wattegama,0.0,0.0,0.0,0.0,0.0,0.0
160,sorland,0.0,0.0,0.0,0.0,0.0,0.0
161,namibe,0.0,0.0,0.0,0.0,0.0,0.0
162,palia kalan,0.0,0.0,0.0,0.0,0.0,0.0
163,bilibino,0.0,0.0,0.0,0.0,0.0,0.0
164,korla,0.0,0.0,0.0,0.0,0.0,0.0
165,lobito,0.0,0.0,0.0,0.0,0.0,0.0
166,nguruka,0.0,0.0,0.0,0.0,0.0,0.0
167,puerto concordia,0.0,0.0,0.0,0.0,0.0,0.0
168,howick,0.0,0.0,0.0,0.0,0.0,0.0
169,utiroa,0.0,0.0,0.0,0.0,0.0,0.0
170,aktau,0.0,0.0,0.0,0.0,0.0,0.0
171,sur,0.0,0.0,0.0,0.0,0.0,0.0
172,zyryanovsk,0.0,0.0,0.0,0.0,0.0,0.0
173,lorengau,0.0,0.0,0.0,0.0,0.0,0.0
174,chuy,0.0,0.0,0.0,0.0,0.0,0.0
175,cherskiy,0.0,0.0,0.0,0.0,0.0,0.0
176,agirish,0.0,0.0,0.0,0.0,0.0,0.0
177,seoul,0.0,0.0,0.0,0.0,0.0,0.0
178,bonavista,0.0,0.0,0.0,0.0,0.0,0.0
179,katsuura,0.0,0.0,0.0,0.0,0.0,0.0
180,tiksi,0.0,0.0,0.0,0.0,0.0,0.0
181,ust-omchug,0.0,0.0,0.0,0.0,0.0,0.0
182,okhotsk,0.0,0.0,0.0,0.0,0.0,0.0
183,abashiri,0.0,0.0,0.0,0.0,0.0,0.0
184,nizhneyansk,0.0,0.0,0.0,0.0,0.0,0.0
185,illoqqortoormiut,0.0,0.0,0.0,0.0,0.0,0.0
186,westport,0.0,0.0,0.0,0.0,0.0,0.0
187,dikson,0.0,0.0,0.0,0.0,0.0,0.0
188,codrington,0.0,0.0,0.0,0.0,0.0,0.0
189,ijaki,0.0,0.0,0.0,0.0,0.0,0.0
190,praia da vitoria,0.0,0.0,0.0,0.0,0.0,0.0
191,margate,0.0,0.0,0.0,0.0,0.0,0.0
192,clyde river,0.0,0.0,0.0,0.0,0.0,0.0
193,arraial do cabo,0.0,0.0,0.0,0.0,0.0,0.0
194,de-kastri,0.0,0.0,0.0,0.0,0.0,0.0
195,weligama,0.0,0.0,0.0,0.0,0.0,0.0
196,bathsheba,0.0,0.0,0.0,0.0,0.0,0.0
197,taltal,0.0,0.0,0.0,0.0,0.0,0.0
198,tautira,0.0,0.0,0.0,0.0,0.0,0.0
199,calama,0.0,0.0,0.0,0.0,0.0,0.0
200,ridgecrest,0.0,0.0,0.0,0.0,0.0,0.0
201,mount gambier,0.0,0.0,0.0,0.0,0.0,0.0
202,kruisfontein,0.0,0.0,0.0,0.0,0.0,0.0
203,acapulco,0.0,0.0,0.0,0.0,0.0,0.0
204,ulagan,0.0,0.0,0.0,0.0,0.0,0.0
205,lidkoping,0.0,0.0,0.0,0.0,0.0,0.0
206,kantang,0.0,0.0,0.0,0.0,0.0,0.0
207,kalol,0.0,0.0,0.0,0.0,0.0,0.0
208,el balyana,0.0,0.0,0.0,0.0,0.0,0.0
209,vila franca do campo,0.0,0.0,0.0,0.0,0.0,0.0
210,haibowan,0.0,0.0,0.0,0.0,0.0,0.0
211,aklavik,0.0,0.0,0.0,0.0,0.0,0.0
212,lewistown,0.0,0.0,0.0,0.0,0.0,0.0
213,wadern,0.0,0.0,0.0,0.0,0.0,0.0
214,dzhusaly,0.0,0.0,0.0,0.0,0.0,0.0
215,kodiak,0.0,0.0,0.0,0.0,0.0,0.0
216,koulikoro,0.0,0.0,0.0,0.0,0.0,0.0
217,laguna,0.0,0.0,0.0,0.0,0.0,0.0
218,beja,0.0,0.0,0.0,0.0,0.0,0.0
219,yeniseysk,0.0,0.0,0.0,0.0,0.0,0.0
220,ostrovnoy,0.0,0.0,0.0,0.0,0.0,0.0
221,longlac,0.0,0.0,0.0,0.0,0.0,0.0
222,khatanga,0.0,0.0,0.0,0.0,0.0,0.0
223,guerrero negro,0.0,0.0,0.0,0.0,0.0,0.0
224,jumla,0.0,0.0,0.0,0.0,0.0,0.0
225,santa marta,0.0,0.0,0.0,0.0,0.0,0.0
226,beringovskiy,0.0,0.0,0.0,0.0,0.0,0.0
227,sentyabrskiy,0.0,0.0,0.0,0.0,0.0,0.0
228,bardiyah,0.0,0.0,0.0,0.0,0.0,0.0
229,kaitangata,0.0,0.0,0.0,0.0,0.0,0.0
230,bredasdorp,0.0,0.0,0.0,0.0,0.0,0.0
231,along,0.0,0.0,0.0,0.0,0.0,0.0
232,hailey,0.0,0.0,0.0,0.0,0.0,0.0
233,san quintin,0.0,0.0,0.0,0.0,0.0,0.0
234,araouane,0.0,0.0,0.0,0.0,0.0,0.0
235,robertsport,0.0,0.0,0.0,0.0,0.0,0.0
236,labuhan,0.0,0.0,0.0,0.0,0.0,0.0
237,zlatoustovsk,0.0,0.0,0.0,0.0,0.0,0.0
238,harper,0.0,0.0,0.0,0.0,0.0,0.0
239,yerbogachen,0.0,0.0,0.0,0.0,0.0,0.0
240,mahadday weyne,0.0,0.0,0.0,0.0,0.0,0.0
241,sisimiut,0.0,0.0,0.0,0.0,0.0,0.0
242,amalapuram,0.0,0.0,0.0,0.0,0.0,0.0
243,vaitupu,0.0,0.0,0.0,0.0,0.0,0.0
244,tura,0.0,0.0,0.0,0.0,0.0,0.0
245,tabou,0.0,0.0,0.0,0.0,0.0,0.0
246,gondanglegi,0.0,0.0,0.0,0.0,0.0,0.0
247,naze,0.0,0.0,0.0,0.0,0.0,0.0
248,hargeysa,0.0,0.0,0.0,0.0,0.0,0.0
249,hilo,0.0,0.0,0.0,0.0,0.0,0.0
250,hualmay,0.0,0.0,0.0,0.0,0.0,0.0
251,dan khun thot,0.0,0.0,0.0,0.0,0.0,0.0
252,shebalino,0.0,0.0,0.0,0.0,0.0,0.0
253,kamiiso,0.0,0.0,0.0,0.0,0.0,0.0
254,andevoranto,0.0,0.0,0.0,0.0,0.0,0.0
255,pecos,0.0,0.0,0.0,0.0,0.0,0.0
256,ilulissat,0.0,0.0,0.0,0.0,0.0,0.0
257,lompoc,0.0,0.0,0.0,0.0,0.0,0.0
258,evensk,0.0,0.0,0.0,0.0,0.0,0.0
259,tilichiki,0.0,0.0,0.0,0.0,0.0,0.0
260,bairiki,0.0,0.0,0.0,0.0,0.0,0.0
261,artyk,0.0,0.0,0.0,0.0,0.0,0.0
262,baherden,0.0,0.0,0.0,0.0,0.0,0.0
263,luang prabang,0.0,0.0,0.0,0.0,0.0,0.0
264,borogontsy,0.0,0.0,0.0,0.0,0.0,0.0
265,longkou,0.0,0.0,0.0,0.0,0.0,0.0
266,hailar,0.0,0.0,0.0,0.0,0.0,0.0
267,supe,0.0,0.0,0.0,0.0,0.0,0.0
268,dutlwe,0.0,0.0,0.0,0.0,0.0,0.0
269,port hedland,0.0,0.0,0.0,0.0,0.0,0.0
270,quatre cocos,0.0,0.0,0.0,0.0,0.0,0.0
271,storforshei,0.0,0.0,0.0,0.0,0.0,0.0
272,mys shmidta,0.0,0.0,0.0,0.0,0.0,0.0
273,biak,0.0,0.0,0.0,0.0,0.0,0.0
274,plettenberg bay,0.0,0.0,0.0,0.0,0.0,0.0
275,chara,0.0,0.0,0.0,0.0,0.0,0.0
276,bahir dar,0.0,0.0,0.0,0.0,0.0,0.0
277,rawson,0.0,0.0,0.0,0.0,0.0,0.0
278,bolanos de calatrava,0.0,0.0,0.0,0.0,0.0,0.0
279,vardo,0.0,0.0,0.0,0.0,0.0,0.0
280,mehamn,0.0,0.0,0.0,0.0,0.0,0.0
281,ksenyevka,0.0,0.0,0.0,0.0,0.0,0.0
282,komsomolskiy,0.0,0.0,0.0,0.0,0.0,0.0
283,byron bay,0.0,0.0,0.0,0.0,0.0,0.0
284,la ronge,0.0,0.0,0.0,0.0,0.0,0.0
285,port lincoln,0.0,0.0,0.0,0.0,0.0,0.0
286,pirapora,0.0,0.0,0.0,0.0,0.0,0.0
287,ranau,0.0,0.0,0.0,0.0,0.0,0.0
288,podbelsk,0.0,0.0,0.0,0.0,0.0,0.0
289,nhulunbuy,0.0,0.0,0.0,0.0,0.0,0.0
290,lolua,0.0,0.0,0.0,0.0,0.0,0.0
291,marystown,0.0,0.0,0.0,0.0,0.0,0.0
292,ozinki,0.0,0.0,0.0,0.0,0.0,0.0
